1,2,3,4,5,6,+
15,17,21,35,36,37,6
1,2,32,34,36,37,6
20,25,28,34,36,37,6
4,18,27,29,36,37,6
3,18,19,29,36,37,6
5,7,21,25,36,37,6
7,13,19,32,35,37,6
5,8,11,21,35,37,6
1,3,18,19,35,37,6
1,5,12,22,34,37,6
1,8,18,31,33,37,6
2,4,25,30,33,37,6
8,14,27,29,33,37,6
1,11,27,29,33,37,6
5,15,19,30,32,37,6
3,10,23,27,32,37,6
7,16,17,27,32,37,6
7,12,17,19,32,37,6
2,6,12,17,32,37,6
4,5,19,24,31,37,6
6,10,14,20,31,37,6
1,13,20,29,30,37,6
8,13,14,27,30,37,6
10,15,24,25,30,37,6
1,5,13,24,30,37,6
4,16,19,25,29,37,6
1,15,17,21,29,37,6
8,13,16,17,29,37,6
3,22,24,25,28,37,6
3,7,14,21,27,37,6
2,7,12,19,27,37,6
7,8,10,19,27,37,6
8,9,21,22,26,37,6
6,13,15,22,23,37,6
4,5,6,9,20,37,6
6,10,18,27,35,36,6
4,11,16,25,35,36,6
12,13,19,21,35,36,6
2,11,12,21,35,36,6
1,10,12,19,35,36,6
1,6,23,33,34,36,6
4,8,27,30,34,36,6
2,19,28,29,34,36,6
1,4,13,16,34,36,6
3,5,10,11,34,36,6
6,10,18,23,33,36,6
5,17,25,28,32,36,6
5,21,22,25,32,36,6
5,10,17,23,32,36,6
6,7,22,30,31,36,6
1,10,18,25,31,36,6
5,15,17,21,31,36,6
13,15,21,23,30,36,6
1,12,16,20,30,36,6
2,21,25,27,28,36,6
6,18,21,24,28,36,6
7,13,15,19,28,36,6
2,11,15,19,28,36,6
7,10,16,18,28,36,6
6,9,17,26,27,36,6
4,7,10,22,27,36,6
9,13,15,20,25,36,6
7,16,18,21,23,36,6
5,6,18,19,21,36,6
4,7,9,11,19,36,6
3,8,9,10,16,36,6
8,11,22,33,34,35,6
10,17,18,24,34,35,6
1,13,19,22,34,35,6
1,8,19,22,34,35,6
1,6,7,12,34,35,6
3,11,29,32,33,35,6
12,16,21,22,33,35,6
4,6,13,19,33,35,6
1,10,28,31,32,35,6
2,9,28,31,32,35,6
7,21,26,31,32,35,6
10,21,28,30,31,35,6
6,8,21,25,30,35,6
1,8,11,23,30,35,6
7,13,14,28,29,35,6
5,8,10,26,29,35,6
15,16,20,24,28,35,6
2,7,10,23,26,35,6
1,8,13,22,26,35,6
7,8,11,12,20,35,6
3,23,27,32,33,34,6
1,24,28,31,33,34,6
3,19,25,30,33,34,6
7,8,15,30,33,34,6
2,11,13,20,33,34,6
11,13,27,30,32,34,6
5,13,25,28,32,34,6
3,12,14,24,32,34,6
1,2,17,18,32,34,6
2,11,13,17,32,34,6
15,18,21,29,31,34,6
11,18,24,26,31,34,6
15,18,19,25,31,34,6
5,9,18,20,31,34,6
2,5,19,24,30,34,6
11,13,24,26,29,34,6
6,9,13,17,29,34,6
7,11,26,27,28,34,6
4,9,22,27,28,34,6
2,3,10,11,28,34,6
8,15,20,26,27,34,6
3,6,18,26,27,34,6
9,18,22,24,27,34,6
6,10,15,18,27,34,6
15,18,22,23,26,34,6
3,6,11,16,26,34,6
7,9,14,15,24,34,6
4,10,11,21,23,34,6
3,9,13,16,22,34,6
2,3,8,15,19,34,6
6,17,28,30,32,33,6
20,24,26,28,32,33,6
5,7,19,26,32,33,6
6,9,19,25,32,33,6
2,15,19,24,32,33,6
5,7,24,29,31,33,6
1,12,23,25,31,33,6
11,12,18,24,31,33,6
9,18,20,23,31,33,6
2,9,15,22,31,33,6
7,11,15,20,31,33,6
1,2,8,12,31,33,6
3,14,24,29,30,33,6
8,16,17,25,30,33,6
4,8,9,22,29,33,6
2,9,18,26,28,33,6
7,12,15,22,28,33,6
2,10,11,22,28,33,6
4,8,13,17,28,33,6
3,4,19,23,27,33,6
3,14,15,19,26,33,6
2,7,10,21,25,33,6
2,10,15,17,25,33,6
13,16,17,20,24,33,6
3,8,17,19,24,33,6
9,10,11,14,24,33,6
7,10,11,13,23,33,6
3,7,17,19,21,33,6
2,5,11,12,15,33,6
13,15,16,28,31,32,6
9,16,22,27,31,32,6
4,17,18,22,31,32,6
3,11,17,20,31,32,6
4,16,19,29,30,32,6
1,3,19,27,30,32,6
2,3,4,27,30,32,6
3,18,20,28,29,32,6
1,2,15,28,29,32,6
2,3,22,27,29,32,6
1,14,15,26,29,32,6
3,12,20,25,28,32,6
10,12,16,22,28,32,6
6,12,13,16,28,32,6
1,3,21,23,27,32,6
3,6,17,23,27,32,6
9,11,21,25,26,32,6
2,11,21,22,26,32,6
1,2,10,15,25,32,6
4,8,11,13,24,32,6
2,3,5,9,24,32,6
1,6,15,17,20,32,6
2,3,5,6,12,32,6
10,12,16,28,29,31,6
5,9,10,11,29,31,6
7,11,12,25,28,31,6
2,12,21,23,28,31,6
4,7,23,25,27,31,6
14,19,22,25,27,31,6
3,9,14,19,27,31,6
6,8,10,13,27,31,6
6,17,22,24,26,31,6
2,17,19,21,26,31,6
8,11,13,18,25,31,6
2,3,13,21,22,31,6
1,8,15,16,20,31,6
6,9,12,18,19,31,6
3,7,11,17,19,31,6
2,8,10,11,17,31,6
4,5,10,19,28,30,6
6,16,23,25,27,30,6
12,13,20,25,27,30,6
3,14,18,24,27,30,6
4,6,12,23,26,30,6
4,12,16,21,26,30,6
1,8,10,16,26,30,6
5,8,10,15,26,30,6
1,8,11,17,25,30,6
1,5,9,23,24,30,6
3,4,6,13,21,30,6
3,8,23,26,28,29,6
4,11,12,26,28,29,6
2,3,14,25,28,29,6
6,13,14,22,28,29,6
4,8,13,20,27,29,6
4,22,24,25,26,29,6
1,2,10,12,26,29,6
3,6,10,11,26,29,6
2,3,8,11,26,29,6
1,6,7,10,26,29,6
5,15,22,23,25,29,6
6,8,14,20,25,29,6
9,20,22,23,24,29,6
12,15,18,20,23,29,6
6,7,11,17,22,29,6
5,8,11,16,22,29,6
1,2,3,10,16,29,6
6,7,12,22,23,28,6
2,4,10,14,23,28,6
7,11,13,16,22,28,6
7,10,12,19,21,28,6
2,3,4,12,18,28,6
4,5,6,7,10,28,6
6,16,20,25,26,27,6
6,11,13,21,26,27,6
6,9,10,21,26,27,6
2,8,12,19,26,27,6
9,11,15,22,24,27,6
1,5,12,22,24,27,6
4,7,13,16,17,27,6
2,21,22,24,25,26,6
6,11,21,24,25,26,6
3,10,13,18,25,26,6
5,16,18,23,24,26,6
6,13,14,21,23,26,6
1,6,12,17,22,26,6
2,9,13,17,21,26,6
3,11,12,15,21,26,6
1,8,10,12,16,26,6
7,10,11,19,23,25,6
4,5,11,16,23,25,6
4,6,10,18,22,25,6
9,16,18,20,21,25,6
10,13,14,19,20,25,6
1,9,14,15,19,25,6
1,11,13,15,18,25,6
3,4,9,15,23,24,6
2,7,9,14,23,24,6
4,12,14,17,19,20,6
4,5,11,16,18,20,6
3,6,7,15,18,20,6
5,14,15,16,17,20,6
3,4,6,7,14,20,6
3,4,13,15,18,19,6
1,2,3,6,7,17,6
3,4,5,7,10,16,6
4,5,21,30,36,37,5
3,15,26,27,36,37,5
4,8,15,24,36,37,5
12,13,28,33,35,37,5
12,15,19,31,35,37,5
12,19,23,30,35,37,5
11,18,19,25,35,37,5
12,13,16,18,35,37,5
2,8,10,13,35,37,5
3,20,28,31,33,37,5
1,23,26,31,33,37,5
9,18,25,30,33,37,5
11,15,17,27,33,37,5
12,14,16,29,32,37,5
3,5,7,8,32,37,5
14,20,22,26,31,37,5
1,9,17,29,30,37,5
6,12,25,27,30,37,5
11,19,20,27,30,37,5
19,21,22,24,30,37,5
10,12,22,23,30,37,5
6,13,22,25,29,37,5
1,4,16,26,28,37,5
11,21,22,23,28,37,5
4,10,17,23,28,37,5
6,10,19,21,28,37,5
3,8,10,12,28,37,5
12,18,20,23,25,37,5
4,18,19,23,24,37,5
1,2,9,22,23,37,5
1,5,15,17,23,37,5
8,9,14,18,22,37,5
6,8,14,19,20,37,5
2,12,15,16,20,37,5
1,8,9,10,16,37,5
1,2,3,10,16,37,5
13,16,24,31,35,36,5
2,16,17,31,35,36,5
1,6,9,24,35,36,5
9,12,25,29,34,36,5
17,22,26,28,34,36,5
4,9,23,28,34,36,5
7,20,24,26,34,36,5
7,10,21,27,33,36,5
2,9,12,13,33,36,5
14,16,27,28,32,36,5
13,17,19,26,30,36,5
19,21,24,25,30,36,5
14,17,18,19,30,36,5
1,3,22,26,29,36,5
1,16,20,24,29,36,5
9,16,21,25,27,36,5
1,4,17,19,27,36,5
11,19,22,23,25,36,5
6,8,10,20,22,36,5
3,12,13,17,18,36,5
1,3,13,14,17,36,5
3,6,9,10,17,36,5
3,8,31,32,34,35,5
8,23,26,31,34,35,5
2,8,12,31,34,35,5
19,20,21,24,34,35,5
9,13,16,17,34,35,5
1,26,28,32,33,35,5
2,3,28,30,33,35,5
14,23,26,27,33,35,5
14,17,29,31,32,35,5
14,21,27,31,32,35,5
4,19,27,30,31,35,5
6,8,24,28,30,35,5
10,20,21,25,30,35,5
8,9,16,23,30,35,5
5,11,18,20,30,35,5
4,5,16,17,30,35,5
2,9,15,26,29,35,5
9,18,22,25,29,35,5
7,9,20,24,28,35,5
3,19,23,24,27,35,5
4,21,22,23,27,35,5
12,19,21,23,26,35,5
2,14,15,16,25,35,5
4,5,14,17,23,35,5
5,7,10,15,22,35,5
2,12,20,26,33,34,5
2,22,23,24,33,34,5
9,12,17,18,33,34,5
1,28,29,30,32,34,5
1,9,10,27,32,34,5
7,15,16,22,32,34,5
2,7,8,14,31,34,5
17,18,25,28,30,34,5
4,16,17,19,30,34,5
5,19,22,27,29,34,5
10,15,22,26,29,34,5
2,7,12,16,29,34,5
5,6,12,16,29,34,5
8,9,12,13,29,34,5
5,7,11,12,28,34,5
14,18,19,26,27,34,5
1,11,15,24,27,34,5
3,11,12,20,27,34,5
7,9,14,21,26,34,5
5,11,12,18,26,34,5
4,11,13,24,25,34,5
14,17,18,22,25,34,5
8,10,14,17,25,34,5
10,14,19,20,23,34,5
1,9,13,19,20,34,5
2,6,22,31,32,33,5
10,15,24,29,32,33,5
8,11,16,30,31,33,5
8,14,22,28,31,33,5
9,12,18,22,31,33,5
2,12,20,28,30,33,5
1,7,10,27,30,33,5
5,7,19,23,30,33,5
2,10,12,23,30,33,5
12,13,17,22,30,33,5
2,6,17,22,30,33,5
19,23,24,28,29,33,5
5,13,17,26,29,33,5
6,11,18,25,29,33,5
2,9,18,23,29,33,5
4,11,13,20,29,33,5
8,12,15,24,28,33,5
6,14,18,19,27,33,5
3,5,8,11,22,33,5
2,6,12,14,16,33,5
4,8,15,23,31,32,5
8,10,11,14,31,32,5
13,15,24,25,30,32,5
7,13,15,22,30,32,5
3,4,10,11,30,32,5
1,10,16,28,29,32,5
2,12,14,27,29,32,5
2,7,10,11,29,32,5
1,8,21,23,28,32,5
3,12,13,20,28,32,5
5,6,7,24,27,32,5
6,10,16,19,27,32,5
3,17,20,23,26,32,5
1,6,19,22,25,32,5
2,12,20,22,24,32,5
5,8,9,17,24,32,5
1,3,18,21,23,32,5
1,11,15,16,23,32,5
3,8,10,11,23,32,5
9,10,11,12,21,32,5
7,15,17,18,20,32,5
9,13,15,17,19,32,5
9,20,21,26,30,31,5
4,12,16,28,29,31,5
1,2,4,28,29,31,5
7,14,20,27,29,31,5
1,7,21,23,29,31,5
6,10,14,16,28,31,5
1,8,13,21,25,31,5
4,14,16,21,23,31,5
4,9,12,16,21,31,5
5,24,26,27,29,30,5
15,20,24,25,29,30,5
10,14,17,21,29,30,5
11,15,17,18,29,30,5
4,13,22,25,28,30,5
6,15,20,25,28,30,5
4,8,20,23,28,30,5
4,7,18,21,28,30,5
8,14,16,21,28,30,5
10,11,17,19,26,30,5
1,3,5,16,26,30,5
2,3,9,18,23,30,5
2,6,17,20,21,30,5
1,8,12,13,21,30,5
5,6,11,13,21,30,5
1,7,11,15,20,30,5
8,10,12,15,19,30,5
15,18,19,26,28,29,5
4,10,15,24,28,29,5
4,7,13,25,27,29,5
8,9,13,14,27,29,5
11,18,22,24,26,29,5
15,16,17,21,26,29,5
2,6,10,22,25,29,5
8,11,14,17,25,29,5
9,15,16,22,24,29,5
2,5,8,22,24,29,5
6,8,14,18,19,29,5
2,5,6,10,19,29,5
6,9,10,11,18,29,5
2,12,24,25,27,28,5
3,16,20,23,27,28,5
1,2,17,22,27,28,5
2,8,12,21,26,28,5
2,14,22,23,25,28,5
7,10,16,21,25,28,5
2,4,9,20,25,28,5
1,3,4,13,23,28,5
11,15,18,20,22,28,5
1,2,3,5,22,28,5
7,13,16,18,19,28,5
1,12,15,20,26,27,5
2,3,11,18,25,27,5
2,11,13,17,25,27,5
7,9,21,23,24,27,5
6,10,15,20,22,27,5
6,13,15,18,22,27,5
2,10,12,13,20,27,5
